task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
59	d0/ce96da	2475894	getTranscriptsRiboCode (getTranscripts)	COMPLETED	0	2021-06-17 23:28:02.790	1s	13ms	118.2%	0	0	1.1 MB	543.6 KB
36	85/4a9c1e	2243846	Bowtie_Price (SRR8535424_1-bowtie-price)	COMPLETED	0	2021-06-17 22:04:39.210	1h 26m 34s	1h 26m 33s	97.3%	6.4 GB	11.7 GB	8.3 GB	5.4 GB
38	11/7136c8	2245759	Bowtie_Price (SRR8535411_1-bowtie-price)	COMPLETED	0	2021-06-17 22:04:59.221	1h 38m 22s	1h 38m 21s	97.3%	6.2 GB	11.6 GB	8.1 GB	5.2 GB
49	35/9f3bb7	2370564	STAR (STAR)	COMPLETED	0	2021-06-17 22:37:26.769	1h 16m 28s	1h 16m 27s	96.9%	31.3 GB	32.7 GB	31.7 GB	1.1 GB
62	73/de6f0d	2520649	Transcripts (transcript)	COMPLETED	0	2021-06-17 23:53:54.963	2m 26s	2m 25s	95.2%	6.5 GB	17.5 GB	1.7 GB	1.5 GB
63	21/46a69e	2525833	getTranscriptsRiboCode (getTranscripts)	COMPLETED	0	2021-06-17 23:56:20.934	847ms	9ms	106.7%	0	0	2.6 MB	1.3 MB
44	5c/db5ba4	2314611	Bowtie_Price (SRR8535423_1-bowtie-price)	COMPLETED	0	2021-06-17 22:20:57.846	2h 3m 40s	2h 3m 38s	97.3%	10.8 GB	12.9 GB	14.2 GB	10.9 GB
51	9f/a0b64f	2403694	STAR (STAR)	COMPLETED	0	2021-06-17 22:54:31.437	1h 46m 32s	1h 46m 31s	97.2%	32.2 GB	33.1 GB	33.8 GB	2 GB
65	81/2c059e	2581999	Transcripts (transcript)	COMPLETED	0	2021-06-18 00:41:03.947	2m 55s	2m 53s	95.7%	6.4 GB	17.5 GB	2.4 GB	1.5 GB
66	ec/0bfa06	2587849	getTranscriptsRiboCode (getTranscripts)	COMPLETED	0	2021-06-18 00:43:58.729	860ms	10ms	150.9%	0	0	676.9 KB	297 KB
50	08/c66d7b	2394382	STAR (STAR)	COMPLETED	0	2021-06-17 22:49:23.723	2h 17m 59s	2h 17m 58s	97.4%	31.5 GB	32.8 GB	32.6 GB	1.4 GB
67	5a/b00d9f	2611669	Transcripts (transcript)	COMPLETED	0	2021-06-18 01:07:22.603	2m 25s	2m 24s	95.8%	6.5 GB	18.1 GB	1.8 GB	1.5 GB
68	30/1bc7cf	2616584	getTranscriptsRiboCode (getTranscripts)	COMPLETED	0	2021-06-18 01:09:48.117	908ms	13ms	134.5%	0	0	1.5 MB	713.3 KB
60	35/566878	2479365	Price (price)	COMPLETED	0	2021-06-17 23:31:13.553	1h 43m 45s	1h 43m 44s	97.5%	5.1 GB	32.8 GB	10.5 GB	21.2 MB
69	e2/72de37	2621526	getTranscriptsPrice (getTranscriptsPrice)	COMPLETED	0	2021-06-18 01:14:58.426	917ms	12ms	137.3%	0	0	409.8 KB	164.3 KB
53	42/9333f9	2429309	Price (price)	COMPLETED	0	2021-06-17 23:08:31.052	2h 34m 21s	2h 34m 20s	97.7%	5.4 GB	34.8 GB	13.8 GB	26.1 MB
70	86/9a52f5	2642700	getTranscriptsPrice (getTranscriptsPrice)	COMPLETED	0	2021-06-18 01:42:52.484	956ms	13ms	105.7%	0	0	854.1 KB	388.3 KB
52	e6/352148	2426740	Price (price)	COMPLETED	0	2021-06-17 23:07:45.434	2h 47m 22s	2h 47m 21s	97.8%	5.8 GB	32.7 GB	11.7 GB	39.8 MB
71	3b/69ca7c	2650332	getTranscriptsPrice (getTranscriptsPrice)	COMPLETED	0	2021-06-18 01:55:07.882	951ms	13ms	131.7%	0	0	360.5 KB	140.7 KB
42	84/0aecbb	2312607	Bowtie_Price (SRR8535410_1-bowtie-price)	COMPLETED	0	2021-06-17 22:20:32.113	3h 45m 27s	3h 45m 26s	97.9%	9.7 GB	12.8 GB	10.7 GB	7.5 GB
61	a8/a9ce4c	2500518	Price (price)	COMPLETED	0	2021-06-17 23:43:21.525	2h 44m 55s	2h 44m 53s	98.1%	5.5 GB	37.6 GB	10.7 GB	25.8 MB
73	ee/cd6401	2674555	getTranscriptsPrice (getTranscriptsPrice)	COMPLETED	0	2021-06-18 02:28:16.218	884ms	12ms	139.1%	0	0	519 KB	218.8 KB
64	03/3be014	2555759	Price (price)	COMPLETED	0	2021-06-18 00:24:37.658	3h 43m 25s	3h 43m 24s	98.7%	5.7 GB	33.5 GB	21 GB	38.8 MB
74	35/6b3188	2707757	getTranscriptsPrice (getTranscriptsPrice)	COMPLETED	0	2021-06-18 04:08:02.852	959ms	13ms	108.1%	0	0	418.3 KB	168.8 KB
72	ff/e8e1a8	2655426	Price (price)	COMPLETED	0	2021-06-18 02:05:59.377	3h 41m 5s	3h 41m 3s	99.0%	6.3 GB	37.7 GB	22.8 GB	73.7 MB
75	4f/6ad614	2725129	getTranscriptsPrice (getTranscriptsPrice)	COMPLETED	0	2021-06-18 05:47:04.279	973ms	12ms	152.4%	0	0	722.2 KB	320.6 KB
